Пол,Год,Возрастная категория,Значение,Рейтинг
men,2013,70 и старше,76.0,1
men,2013,65-69,321.0,2
men,2013,15-19,401.0,3
men,2013,60-64,1348.0,4
men,2013,55-59,3446.0,5
men,2013,20-24,3909.0,6
men,2013,40-44,4273.0,7
men,2013,45-49,4388.0,8
men,2013,50-54,4674.0,9
men,2013,35-39,4802.0,10
men,2013,30-34,5254.0,11
men,2013,25-29,5868.0,12
men,2014,70 и старше,59.0,1
men,2014,65-69,328.0,2
men,2014,15-19,346.0,3
men,2014,60-64,1394.0,4
men,2014,55-59,3547.0,5
men,2014,20-24,3586.0,6
men,2014,45-49,4200.0,7
men,2014,40-44,4392.0,8
men,2014,50-54,4686.0,9
men,2014,35-39,4850.0,10
men,2014,30-34,5396.0,11
men,2014,25-29,6000.0,12
men,2015,70 и старше,53.0,1
men,2015,15-19,368.0,2
men,2015,65-69,372.0,3
men,2015,60-64,1485.0,4
men,2015,20-24,3275.0,5
men,2015,55-59,3738.0,6
men,2015,45-49,4161.0,7
men,2015,40-44,4549.0,8
men,2015,50-54,4676.0,9
men,2015,35-39,5025.0,10
men,2015,30-34,5665.0,11
men,2015,25-29,6124.0,12
men,2016,70 и старше,56.0,1
men,2016,15-19,380.0,2
men,2016,65-69,387.0,3
men,2016,60-64,1527.0,4
men,2016,20-24,3033.0,5
men,2016,55-59,3849.0,6
men,2016,45-49,4105.0,7
men,2016,50-54,4557.0,8
men,2016,40-44,4658.0,9
men,2016,35-39,5113.0,10
men,2016,30-34,5807.0,11
men,2016,25-29,6108.0,12
men,2017,70 и старше,116.0,1
men,2017,15-19,325.0,2
men,2017,65-69,455.0,3
men,2017,60-64,1559.0,4
men,2017,20-24,2673.0,5
men,2017,55-59,3938.0,6
men,2017,45-49,4160.0,7
men,2017,50-54,4327.0,8
men,2017,40-44,4709.0,9
men,2017,35-39,5253.0,10
men,2017,30-34,5887.0,11
men,2017,25-29,6014.0,12
men,2018,70 и старше,114.0,1
men,2018,15-19,300.0,2
men,2018,65-69,481.0,3
men,2018,60-64,1657.0,4
men,2018,20-24,2463.0,5
men,2018,55-59,4043.0,6
men,2018,50-54,4147.0,7
men,2018,45-49,4226.0,8
men,2018,40-44,4803.0,9
men,2018,35-39,5318.0,10
men,2018,25-29,5697.0,11
men,2018,30-34,6065.0,12
men,2019,70 и старше,132.0,1
men,2019,15-19,277.0,2
men,2019,65-69,538.0,3
men,2019,60-64,1718.0,4
men,2019,20-24,2378.0,5
men,2019,50-54,3953.0,6
men,2019,55-59,3987.0,7
men,2019,45-49,4302.0,8
men,2019,40-44,4791.0,9
men,2019,25-29,5275.0,10
men,2019,35-39,5417.0,11
men,2019,30-34,6126.0,12
men,2020,70 и старше,136.0,1
men,2020,15-19,284.0,2
men,2020,65-69,544.0,3
men,2020,60-64,1858.0,4
men,2020,20-24,2307.0,5
men,2020,50-54,3837.0,6
men,2020,55-59,3969.0,7
men,2020,45-49,4360.0,8
men,2020,25-29,4794.0,9
men,2020,40-44,4886.0,10
men,2020,35-39,5538.0,11
men,2020,30-34,6077.0,12
men,2021,70 и старше,131.0,1
men,2021,15-19,279.0,2
men,2021,65-69,553.0,3
men,2021,60-64,2141.0,4
men,2021,20-24,2284.0,5
men,2021,50-54,3870.0,6
men,2021,55-59,3929.0,7
men,2021,25-29,4411.0,8
men,2021,45-49,4475.0,9
men,2021,40-44,5009.0,10
men,2021,35-39,5708.0,11
men,2021,30-34,6101.0,12
men,2022,70 и старше,123.0,1
men,2022,15-19,244.0,2
men,2022,65-69,551.0,3
men,2022,20-24,2137.0,4
men,2022,60-64,2300.0,5
men,2022,55-59,3779.0,6
men,2022,50-54,3944.0,7
men,2022,25-29,4025.0,8
men,2022,45-49,4540.0,9
men,2022,40-44,5172.0,10
men,2022,35-39,5777.0,11
men,2022,30-34,5984.0,12
men,2023,70 и старше,121.0,1
men,2023,15-19,300.0,2
men,2023,65-69,582.0,3
men,2023,20-24,2141.0,4
men,2023,60-64,2563.0,5
men,2023,55-59,3713.0,6
men,2023,25-29,3845.0,7
men,2023,50-54,4011.0,8
men,2023,45-49,4653.0,9
men,2023,40-44,5228.0,10
men,2023,30-34,5716.0,11
men,2023,35-39,6002.0,12
woman,2013,70 и старше,98.0,1
woman,2013,15-19,285.0,2
woman,2013,65-69,369.0,3
woman,2013,60-64,1257.0,4
woman,2013,20-24,3063.0,5
woman,2013,55-59,3106.0,6
woman,2013,40-44,4361.0,7
woman,2013,30-34,4673.0,8
woman,2013,35-39,4706.0,9
woman,2013,45-49,4785.0,10
woman,2013,25-29,4911.0,11
woman,2013,50-54,5240.0,12
woman,2014,70 и старше,79.0,1
woman,2014,15-19,232.0,2
woman,2014,65-69,390.0,3
woman,2014,60-64,1337.0,4
woman,2014,20-24,2802.0,5
woman,2014,55-59,3131.0,6
woman,2014,40-44,4513.0,7
woman,2014,45-49,4579.0,8
woman,2014,35-39,4714.0,9
woman,2014,30-34,4808.0,10
woman,2014,25-29,4984.0,11
woman,2014,50-54,5230.0,12
woman,2015,70 и старше,70.0,1
woman,2015,15-19,243.0,2
woman,2015,65-69,438.0,3
woman,2015,60-64,1439.0,4
woman,2015,20-24,2596.0,5
woman,2015,55-59,3291.0,6
woman,2015,45-49,4457.0,7
woman,2015,40-44,4628.0,8
woman,2015,35-39,4871.0,9
woman,2015,30-34,4950.0,10
woman,2015,25-29,5073.0,11
woman,2015,50-54,5215.0,12
woman,2016,70 и старше,71.0,1
woman,2016,15-19,233.0,2
woman,2016,65-69,461.0,3
woman,2016,60-64,1490.0,4
woman,2016,20-24,2379.0,5
woman,2016,55-59,3308.0,6
woman,2016,45-49,4410.0,7
woman,2016,40-44,4772.0,8
woman,2016,35-39,4937.0,9
woman,2016,50-54,5067.0,10
woman,2016,25-29,5109.0,11
woman,2016,30-34,5118.0,12
woman,2017,70 и старше,146.0,1
woman,2017,15-19,215.0,2
woman,2017,65-69,491.0,3
woman,2017,60-64,1452.0,4
woman,2017,20-24,2106.0,5
woman,2017,55-59,3353.0,6
woman,2017,45-49,4451.0,7
woman,2017,50-54,4821.0,8
woman,2017,40-44,4856.0,9
woman,2017,35-39,5070.0,10
woman,2017,25-29,5088.0,11
woman,2017,30-34,5194.0,12
woman,2018,70 и старше,188.0,1
woman,2018,15-19,221.0,2
woman,2018,65-69,544.0,3
woman,2018,60-64,1543.0,4
woman,2018,20-24,1956.0,5
woman,2018,55-59,3440.0,6
woman,2018,45-49,4480.0,7
woman,2018,50-54,4601.0,8
woman,2018,25-29,4860.0,9
woman,2018,40-44,4953.0,10
woman,2018,35-39,5133.0,11
woman,2018,30-34,5397.0,12
woman,2019,15-19,197.0,1
woman,2019,70 и старше,202.0,2
woman,2019,65-69,601.0,3
woman,2019,60-64,1591.0,4
woman,2019,20-24,1879.0,5
woman,2019,55-59,3471.0,6
woman,2019,50-54,4381.0,7
woman,2019,25-29,4481.0,8
woman,2019,45-49,4568.0,9
woman,2019,40-44,4964.0,10
woman,2019,35-39,5203.0,11
woman,2019,30-34,5449.0,12
woman,2020,15-19,183.0,1
woman,2020,70 и старше,183.0,2
woman,2020,65-69,602.0,3
woman,2020,60-64,1698.0,4
woman,2020,20-24,1828.0,5
woman,2020,55-59,3586.0,6
woman,2020,25-29,4088.0,7
woman,2020,50-54,4257.0,8
woman,2020,45-49,4659.0,9
woman,2020,40-44,5061.0,10
woman,2020,35-39,5328.0,11
woman,2020,30-34,5404.0,12
woman,2021,70 и старше,177.0,1
woman,2021,15-19,186.0,2
woman,2021,65-69,585.0,3
woman,2021,60-64,1700.0,4
woman,2021,20-24,1823.0,5
woman,2021,55-59,3708.0,6
woman,2021,25-29,3773.0,7
woman,2021,50-54,4227.0,8
woman,2021,45-49,4773.0,9
woman,2021,40-44,5164.0,10
woman,2021,35-39,5480.0,11
woman,2021,30-34,5482.0,12
woman,2022,70 и старше,161.0,1
woman,2022,15-19,171.0,2
woman,2022,65-69,582.0,3
woman,2022,20-24,1679.0,4
woman,2022,60-64,1791.0,5
woman,2022,25-29,3453.0,6
woman,2022,55-59,3718.0,7
woman,2022,50-54,4324.0,8
woman,2022,45-49,4865.0,9
woman,2022,40-44,5324.0,10
woman,2022,30-34,5407.0,11
woman,2022,35-39,5581.0,12
woman,2023,70 и старше,158.0,1
woman,2023,15-19,207.0,2
woman,2023,65-69,575.0,3
woman,2023,20-24,1655.0,4
woman,2023,60-64,1877.0,5
woman,2023,25-29,3306.0,6
woman,2023,55-59,3742.0,7
woman,2023,50-54,4376.0,8
woman,2023,45-49,4995.0,9
woman,2023,30-34,5157.0,10
woman,2023,40-44,5351.0,11
woman,2023,35-39,5761.0,12
